POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,POLYMER_PSMILES,DRUG_SMILES
poly(Acr/Sty) G16,Cr(III),,,49.8,,,
poly(Acr/Sty) G17,Cr(III),,,57.76,,,
poly(Acr/Sty) G18,Cr(III),,,58.25,,,
poly(Acr/Sty) G19,Cr(III),,,54.95,,,
poly(Acr/Sty) G20,Cr(III),,,56.8,,,
poly(Acr/Sty) G21,Cr(III),,,50.39,,,
poly(Acr/Sty) G22,Cr(III),,,53.7,,,
poly(Acr/Sty) G23,Cr(III),,,56.3,,,
chitosan-PIAA-co-AMPS hydrogel,violet,2.0,1000,100,,,
chitosan-PIAA-co-AMPS hydrogel,violet,4.0,1000,600,,,
chitosan-PIAA-co-AMPS hydrogel,violet,6.0,1000,1000,,,
chitosan-PIAA-co-AMPS hydrogel,violet,8.0,1000,1100,,,
chitosan-PIAA-co-AMPS hydrogel,violet,10.0,1000,700,,,
*   **Polymers/Composites:** $\text{Fe}_3\text{O}_4\text{@SiO}_2\text{-G1}$,$\text{Fe}_3\text{O}_4\text{@SiO}_2\text{-G3}$,$\text{Fe}_3\text{O}_4\text{@SiO}_2\text{-G5}$ (Magnetite @ Silica),,,,,
PVP/Chitosan/ZnFe2O4,Amoxicillin,7,40,384.6,,,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
PVA/KHUST,Cefixime,8,20,282.5,,,
*   **Polymers/Materials:** Poly(vinyl alcohol) (for PVA),linoptilite zeolite,Chitosan,Bentonite,Fe3O4,Hyper-Cross-linked Polymer,,
Polyurethane,Congo Red,7.0,1,1.5,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Polyurethane,Congo Red,7.0,2,5,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Polyurethane,Congo Red,7.0,3,6,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Polyurethane,Congo Red,7.0,4,9.5,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Polyurethane,Congo Red,7.0,5,11,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Polyurethane,Congo Red,7.0,6,11.5,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
*   **POLYMER_USED**: Identified by the labels **K,1,$\lambda$** and the legend (**Non-activated,Activated**) in **Figure 6**.,,,,
"""Chauhan et al. used the nitrogen oxide ($\text{NO}_3^-$) and $-\text{COOH}$ groups that are introduced to $\text{C-}6$ through acid hydrolysis. Resulting hydrogels adsorbed $\text{Cu}^{\text{T+}}$ io",reaching extreme capacity of $128.2 \text{mg/g}$ in $\text{h}$ at neutral $\text{pH}$ (7),$50\text{ ppm } \text{Cu}^{2+}$,"at $25^\circ\text{C}$ [122]""",,,,
*   **Polymers:** $\text{StFe}_3\text{O}_4\text{-g-PAA}$,$\text{StFe}_3\text{O}_4\text{-g-PGMA}$,$\text{StFe}_3\text{O}_4\text{-g-PHEMA}$,,,,,
*   **Polymers/Adsorbents:** BC,$Fe_3O_4@BC$,AG,,,,,
Polymer modified by esterified starch,Not specified,10,300,62.52,,,
Starch biocomposite,Not specified,15,50,34.84,,,
Cyanocrystal-starch nanocrystals,Not specified,9,200,84,,,
Cellulose acetate nanofibrous membranes modified by polydopamine,Not specified,15,200,88.2,,,
*   **Adsorbents/Polymers:** chitin,Nano-ZnO/CT-CB,walnut wood activated carbon,crosslinked-chitosan,Thiourea-formaldehyde Alginate,,,
The provided page does not contain the full chemical names for the polymer or the drug/pollutant; it only refers to them using abbreviations (e.g.,PNPs,CNPs,"and a fragment ""DS""). Therefore",I cannot provide the P-SMILES or SMILES strings.,,,
*   **Polymers/Materials:** EH-lignin,lignophol,lignin-aminophenol,,,,,
"Regarding the chemical names: The provided image only refers to the polymer as ""**MAERs**"" (or MAER-1",MAER-2,"MAER-3) and the pollutant as ""**HA**"". The full chemical names for these abbreviations are not present in the provided page.",,,,,
*   **Adsorbents (Polymers/Compounds):** HW,HNa,HK,,,,,
*   **Polymer/Adsorbent:** Banana fiber (which contains Cellulose,Lignin,and Polysaccharides),,,,,
*   **Polymer (Biomass):** *Aspergillus niger* (Note: This is a biological organism,not a chemical polymer,and therefore does not have a SMILES string).,,,,,
XBD polymer,Cr(VI),5,300,714.2,,,
AES/Fe/PAN,Cr(VI),0.2,31,123.8,,,
Poly(methacrylate-co-GMA),Nylred N-2RBL,7,100,309.6,,,
Chitosan/EGDE/organo-nano-composite,Brilliant Blue R,4,1000,229.34,,,
Chitosan/EGDE/organo-nano-composite,Malachite green,8.3,50,168,,,
Chitosan/grafted nano-composite,Methyl orange,7,50,89.98,,,
Chitosan/grafted nano-composite,Congo red,5,350,99.7%,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Grafted starch with octenyl succinate anhydride,Cephalexin,6,0.92,37,,,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O
Grafted starch with P(MAA-g-EG) and AMPs,Tetracycline,5,20,,,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Grafted starch with chitosan,Tetracycline,5.1,169.7,150,,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Carboxymethyl starch,Tetracycline,9.9,30,,,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
*   **Polymers/Materials:** Grafted starch with octenyl succinate anhydride,Grafted starch with P(MAA-g-EG) and AMPs,Grafted starch with chitosan,Carboxymethyl starch,Nanocomposites.,,,
Cellulose and poly(acrylic acid-co-acrylamide),Acid blue (93) AB,7,200,1602,,,
Cross-linked dots of activated oil．oil palm chitosan,Acid blue 29,3-13,50,207.27,,,
*   **Table 7**: Contains data for PANI,PPy,PANI HNTs,PANU,PANI/GO,PANI/Fe₃O₄,,
PANI HNTs,acid green,6.64,660,57.87,,,
PANU/Starch,Reactive Black 5,5.0,577,811.30,,,
PANI/Starch,Reactive Violet 4,N/A,577,6.8,,,
Miscellaneous polymers,Bromothymol blue,6,66,276.2,,,
Miscellaneous polymers,Methylene blue,6,664,123.3,,,
CS/QS aerogel,methylene blue,4,5,342,,,
chitosan aerogel,ibuprofen,6,3,5,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
Modified chitosan,Nitrate,7,40-200,21.35,,,
*   **Polymers/Materials:** Amine-modified cocoa shell,Modified carbon aerogels,Modified chitosan,Magnetic iron oxide embedded chitosan beads.,,,,
polyamine (PEI),Amaranth,2,1400,700,,,
polyamine (PEI),Sunset yellow,2,1400,680,,,
*   **Polymers:** The full chemical names for the polymers (ANA-MK,ANA 2,ANA 3,ANA-MK 4,and ANA-MK 5) are not listed in the provided image.,,,
- **Polymers:** $\alpha\text{-CD/EPI}$,$\beta\text{-CD/EPI}$,$\gamma\text{-CD/EPI}$ (where CD refers to Cyclodextrin),,,,,
* **Polymers/Materials:** polyvinyl alcohol,sodium alginate,ZSM-5 zeolite,,,,,
PVA/SA/ZSM-5,Congo red,2.0,10,5.4,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
PVA/SA/ZSM-5,Congo red,4.0,10,5.1,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
PVA/SA/XSM-5,Congo red,6.0,10,4.6,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
PVA/SA/ZSM-5,Congo red,8.0,10,4.0,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
PVA/SA/ZSM-5,Congo red,10.0,10,2.6,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
*   **Polymers/Components:** Polyvinyl alcohol (PVA),Sodium alginate (SA),and ZSM-5 zeolite.,,,,,
- **Polymers:** (GA/Aam),(GA/Aam)-ES,(GA/Aam)-ES/GO,,,,,
"The provided image contains the drug abbreviation ""**AR**"" and the polymer abbreviations ""**(GA)(AAm)**""",**(GA)(AAm)-ES**,"and ""**(GA)(AAm)-ES/GO**""",but it does not contain the full chemical names for the drug or the constituent components of the polymers.,,,,
*   **Polymers:** `quart(AN-co-VI)`,`amid(AN-co-VI)`,`p(VI)` (as identified in the Figure 4 legends).,,,,,
* **DRUG and POLYMER identification:** Found in the text (e.g.,ciprofloxacine,GO/PVA,"""poly(vinyl alcohol)"").",,,,
*   **Polymers:** The chemical names for the acronyms **GPA**,**GPB**,**GPC**,and **MWFA** are not provided on this page; only their acronyms are present.,,,,
*   **Polymers/Adsorbents:** black tea leaf powder,DPA (as mentioned in text),MgAl-layered double hydroxide (LDH),Persa Americana,sawdust,,,
*   **Adsorbents (Polymers/Materials):** fatdef Jojoba residues,defatted Jojoba residues,activated tea waste,synthesized date palm,activated carbon from monotheca buxifolia seeds.,,,
*   **Adsorbents (referred to as polymers in your request):** native garlic powder,washed garlic powder,durian fruit powder,feava bean powder.,,,,
Alginate,Hexavalent chromium,2.0,10-300,370.4,,,
poly (diallyl dimethyl ammonium chloride),Methylene blue,10,10,4.31,,,
Fly ash polymer powder,Methylene Blue,NaN,75,50.7,,,
geopolymer,methylene blue,8,10,1.42,,,
geopolymer,methylene blue,8,20,2.8,,,
geopolymer,methylene blue,8,30,4.2,,,
geopolymer,methylene blue,8,40,5.4,,,
geopolymer,methylene blue,8,50,6.7,,,
Fly ash geopolymer monolith,Methylene Blue,2-12,1-50,13.4,,,
Fly ash-based geopolymer spheres,Methylene Blue,2,10-250,30.1,,,
* **Polymer components:** Kappa carrageenan,Polyvinyl alcohol,and Bentonite clay (used to form the KPB hydrogel).,,,,,
MNPs hydrogel,Pb(II),0,150,0,,,[Pb+2]
MNPs hydrogel,Pb(II),1,150,15,,,[Pb+2]
MNPs hydrogel,Pb(II),2,150,28,,,[Pb+2]
MNPs hydrogel,Pb(II),3,150,42,,,[Pb+2]
MNPs hydrogel,Pb(II),4,150,78,,,[Pb+2]
MNPs hydrogel,Pb(II),5,150,98,,,[Pb+2]
MNPs hydrogel,Pb(II),6,150,132,,,[Pb+2]
MNPs hydrogel,Pb(II),7,150,122,,,[Pb+2]
MNPs hydrogel,Cd(II),0,150,0,,,[Cd+2]
MNPs hydrogel,Cd(II),1,150,10,,,[Cd+2]
MNPs hydrogel,Cd(II),2,150,20,,,[Cd+2]
MNPs hydrogel,Cd(II),3,150,32,,,[Cd+2]
MNPs hydrogel,Cd(II),4,150,65,,,[Cd+2]
MNPs hydrogel,Cd(II),5,150,95,,,[Cd+2]
MNPs hydrogel,Cd(II),6,150,126,,,[Cd+2]
MNPs hydrogel,Cd(II),7,150,122,,,[Cd+2]
MNPs hydrogel,Pb(II),6,25,20,,,[Pb+2]
MNPs hydrogel,Pb(II),6,50,42,,,[Pb+2]
MNPs hydrogel,Pb(II),6,75,65,,,[Pb+2]
MNPs hydrogel,Pb(II),6,100,85,,,[Pb+2]
MNPs hydrogel,Pb(II),6,125,105,,,[Pb+2]
MNPs hydrogel,Pb(II),6,200,128,,,[Pb+2]
MNPs hydrogel,Pb(II),6,250,118,,,[Pb+2]
MNPs hydrogel,Cd(II),6,25,18,,,[Cd+2]
MNPs hydrogel,Cd(II),6,50,40,,,[Cd+2]
MNPs hydrogel,Cd(II),6,75,60,,,[Cd+2]
MNPs hydrogel,Cd(II),6,100,85,,,[Cd+2]
MNPs hydrogel,Cd(II),6,125,95,,,[Cd+2]
MNPs hydrogel,Cd(II),6,200,120,,,[Cd+2]
MNPs hydrogel,Cd(II),6,250,118,,,[Cd+2]
PVA-Fe granules,Sb(III),7,20,6.99,,,
* **Polymers (Adsorbents):** Seaward hydrochar,Coconut shell hydrochar,Oak wood hydrochar,,,,,
*   **Polymers (Adsorbents):** Hydrochars produced from *F. Serratus* (FS-HC),coconut shell (CS-HC),and oak (Oak-HC).,,,,,
microcrystalline cellulose,Prometryn,2-14,30-150,97.80,,,
*   **Polymers/Components:** Chitosan,Polyacrylamide,ZIF-8,,,,,
*   **Polymers/Adsorbent components:** Chitosan,Polyacrylamide,ZIF-8 (Zeolitic Imidazolate Framework-8),,,,,
- **Polymers/Adsorbents:** Chitosan,Polyacrylamide,ZIF-8,,,,,
polyacrylate,Pb(II),8,300,11,,,[Pb+2]
polyacrylate,Pb(II),7,300,8.5,,,[Pb+2]
polyacrylate,Pb(II),4,300,5.5,,,[Pb+2]
polyacrylate,Pb(II),3,300,2,,,[Pb+2]
polyacrylate,Pb(II),2,300,1,,,[Pb+2]
polyacrylamide grafite husk,Pb(II),5,300,11.66,,,[Pb+2]
PSS-chitosan membrane,phenols,8,1.0,3.97,,,
*   **Polymers/Adsorbents:** Sulfated Lapindo mud (SLM),PSS-chitosan membrane,Chitosan-CNT hydrogel beads,Covalent organic frameworks (COFs),NH2 @ COF,Vinyl COF,,
AL-PVA nanofibres,fluoxetine,7.0,250,78.24,,,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
Polymer I,Co(II),,15,5.899,,,
Polymer II,Co(II),,15,7.651,,,
PABA polymer,Pt(IV),0,30,1.5,,,
PABA polymer,Pt(IV),6,30,1.93,,,
Cross-linked chitosan diepoxyoctane beads,Cr(VI),2,500,325.2,,,
Arginine cross-linked chitosan-carboxymethyl cellulose beads,Pb(II),6.5,325,182.5,,,[Pb+2]
Arginine cross-linked chitosan-carboxymethyl cellulose beads,Cd(II),6.5,325,168.5,,,[Cd+2]
sulfate-crosslinked chitosan,Cr(VI),6,400,156.8,,,
sulfate-crosslinked chitosan,Zn(II),6,400,21.27,,,
Sodium tripolyphosphate crosslinked chitosan,Ni(II),6.5,50,52.4,,,
Sodium tripolyphosphate crosslinked chitosan,Cd(II),6.5,50,68.5,,,[Cd+2]
Chitosan-pectin gels,Cu(II),7,400,169.4,,,
Chitosan-pectin gels,Cd(II),7,400,177.6,,,[Cd+2]
Chitosan-prectin gels,Hg(II),7,400,208.5,,,
Chitosan-pectin gels,Pb(II),7,400,266.5,,,[Pb+2]
Chitosan citrate microspheres,Cr(VI),5,100,172,,,
5-HMF grafted chitosan,Cu(II),5,100,133,,,
5-HMF grafted chitosan,Cd(II),5,100,125,,,[Cd+2]
EDTA grafted chitosan,Co(II),7,40,61,,,
EDTA grafted chitosan,Sr(II),3,40,8.8,,,
Poly (N-vinyl imidazole) grafted chitosan,Hg(II),5,300,112.35,,,
Methyl acrylate and tetraethylene pentamine grafted chitosan (MCS-MA-TEPA),Cd(II),5,250,251.22,,,[Cd+2]
Polyacrylic acid grafted chitosan (MCS-PAA),Pb(II),6,100,204.89,,,[Pb+2]
2-Hydroxy ethyl methacrylate (HEMA) and 4-Sodium Styrene Sulphate (SSS) grafted chitosan,As(V),4,100,16.8,,,
Lignosulfonate grafted chitosan,Cu(II),6,100,283,,,
Lignosulfonate grafted chitosan,Co(II),6,100,386,,,
Benzothiazole functionalized chitosan,Cu(II),6,200,1439.7,,,
*   **HEMA and SSS grafted chitosan:** 2-hydroxyethyl methacrylate,4-sodium styrene sulphate,and Chitosan,,,,,
Triphodphsate crosslinked and salicyldehhyde grafted chitosan,Pb (II),7,100,123.67,,,
Triphodphsate crosslinked and salicyldehhyde grafted chitosan,Cu (II),7,100,84.6,,,
Triphodphsate crosslinked and salicyldehhyde grafted chitosan,Cd (II),7,100,63.71,,,
Glutaraldehyde-cross-linked chitosan grafted with 8-hydroxyquinoline-2-carboxaldehyde (ChGA-HQ),Pd (II),3,25,340.3,,,
Glutaraldehyde-cross-linked chitosan grafted with 8-hydroxyquinoline-2-carboxaldehyde (ChGA-HQ),Pt (IV),3,25,203.9,,,
Chitosan grafted with methyl methacrylate (CMTA-CTS),Cu (II),4,50,192.31,,,
functionalized chitosan-based adsorbent (CS-PAN),Cu (II),5,300,17.03,,,
*   **Polymer/Adsorbent components:** Polyacrylamide ($\text{PAM}$),Magnetite ($\text{Fe}_3\text{O}_4$),Silica ($\text{SiO}_2$),,,,,
*   **Polymer (components of the bean peel biosorbent):** Cellulose,Lignin,Hemicellulose,,,,,
chitosan-glutaraldehyde,Direct\_Blue 71,4,30,209.81,,,
*   **Figure 14:** Provides adsorption capacity ($\text{mg/g}$) for the polymer **R2M1D** at various pH levels (4,6,8,10,12) for a concentration of $50\text{ mg/L}$ (as specified in section 3.2.3).,,,
*   **Figure 15:** Provides adsorption capacity ($\text{mg/g}$) for the polymer **C1M1C** at various pH levels (4,6,8,10,12) for a concentration of $50\text{ mg/L}$ (as specified in section 3.2.3).,,,
FDU-12-MA/PMMA,Pb(II),4.0,50,10.0,,,[Pb+2]
FDU-12-MA/PMMA,Pb(II),6.0,50,30.0,,,[Pb+2]
FDU-12-MA/PMMA,Pb(II),8.0,50,42.5,,,[Pb+2]
FDU-12-PMMA,Pb(II),9.0,70.0,2.2,,,[Pb+2]
PET,Pb(II),2.0,400,13.16,,,[Pb+2]
IDA-NaOH/GMA-PET,Pb(II),3.0,400,13.99,,,[Pb+2]
IDA-NaOH-CS2/GMA-PET,Pb(II),4.0,400,20.22,,,[Pb+2]
IDA-CS2/GMA-PET,Pb(II),5.0,400,13.77,,,[Pb+2]
* **Polymers/Modifications:** PET,IDA-NaOH/GMA-PET,IDA-NaOH-CS2/GMA-PET,IDA-CS2/GMA-PET,IDA/GMA,,,
`IDA-NaOH-CS2/GMA-PET fibers,Pb(II),5,400,94.14`,,,[Pb+2]
IDA/GMA-PET,Pb(II),5.0,90,13.78,,,[Pb+2]
IDA-NaOH/GMA-PET,Pb(II),5.0,90,80.12,,,[Pb+2]
IDA-NaOH-CS2/GMA-PET,Pb(II),5.0,90,94.14,,,[Pb+2]
* **Polymers:** $IDA/GMA-PET$ fibers,$IDA-NaOH/GMA-PET$ fibers,and $IDA-NaOH-CS_2/GMA-PET$ fibers.,,,,,
IDA-NaOH-CS/GMA-PET,Pb(II),2,400,85,,,[Pb+2]
IDA-NaOH-CS/GMA-PET,Pb(II),3,400,90,,,[Pb+2]
IDA-NaOH-CS/GMA-PET,Pb(II),4,400,93.5,,,[Pb+2]
IDA-NaOH-CS/GMA-PET,Pb(II),5,400,94.5,,,[Pb+2]
IDA-NaOH-CS/GMA-PET,Pb(II),5,100,20,,,[Pb+2]
IDA-NaOH-CS/GMA-PET,Pb(II),5,200,50,,,[Pb+2]
IDA-NaOH-CS/GMA-PET,Pb(II),5,300,85,,,[Pb+2]
*   **Polymers:** The text only provides abbreviations/codes for the polymers (**MIN**,**HGA**,and **HGA-MIN**) and does not explicitly state their full chemical names in the provided image.,,,,,
*   **Polymers/Materials:** The full chemical names for **HGA**,**MIN**,and **HGA-MIN** are not provided in the provided image.,,,,,
*   **Polymers (Biosorbents):** Tannin biosorbents (specifically: pristine tannin biosorbent,carboxyl-functionalized tannin biosorbent,and amino-functionalized tannin biosorbent).,,,,,
*   **Polymers:** Pristine tannin (TH-OH),Carboxyl-functionalized tannin (TH-COOH),Amino-functionalized tannin ($\text{TH-NH}_2$).,,,,,
*   **Polymers/Adsorbents:** Banana,Orange,Pomegranate,,,,,
magnetic silicon poly-N,N'-methylenebisacrylamide nanocomposite,Copper (Cu2+),5,50,38.35,,
MLDH-NHx@PANI,Cr(VI),3,1.0,0.1,,,
MLDH-NHx@PANI,Cr(VI),4,1.0,0.15,,,
MLDH-NHx@PANI,Cr(VI),5,1.0,0.2,,,
MLDH-NHx@PANI,Cr(VI),6,1.0,0.3,,,
MLDH-NHx@PANI,Cr(VI),7,1.0,0.4,,,
MLDH-NHx@PANI,Cr(VI),8,1.0,0.5,,,
MLDH-NHx@PANI,Cr(VI),9,1.0,0.6,,,
MLDH-NHx@PANI,Cr(VI),10,1.0,0.7,,,
LDH-NH2@PANI,Cr(VI),3,50,205.3,,,
*   **Polymers/Adsorbents:** Cellulose,$\text{ACP}$,$\text{ZnO@ACP}$,,,,,
Polyaniline carbon,Remazol brilliant blue,2.54,100,370.86,,,
Alginate beads functionalized with SSCDs,Cr(VI),4,5,4.38,,,
Alginate beads functionalized with SSCDs,Cr(VI),4,10,5.96,,,
Alginate beads functionalized with SSCDs,Cr(VI),4,250,132.14,,,
Alginate beads functionalized with SSCDs,Cr(VI),4,500,124.82,,,
*   **Polymers/Composites:** CFHp,NHlp,CFe (Note: These are provided as abbreviations in the text/caption).,,,,,
- **Polymers/Composites:** CFe,NHp,and CFHp (Full chemical names not provided in the image).,,,,,
*   **Polymers/Compounds (Adsorbents):** LDO-PC,(MgFe)2DO-ASB,Mag-LDO-C,S-FLDO,MagLDO-AS,SA-GCN-LDO,,
*   **$\text{Fe}_2\text{O}_3/\text{SiO}_2/\text{PEG}$ (Polymer/Adsorbent):** Iron(III) oxide,Silicon dioxide,Polyethylene glycol,,,,,
Alginate templated MMT/Si composite,RhB,7,5,5,,,
Alginate templated MMT/Si composite,RhB,7,10,10,,,
Alginate templated MMT/Si composite,RhB,7,25,18,,,
*   **Polymer/Adsorbent components:** Alginate,Montmorillonite (from MMT),and Silicon (from Si),,,,,
MgFe2O4@Schiff base/chitosan,Pb(II),5.5,150,86.4,,,[Pb+2]
*   **Polymers**: GP-0,GP-10,GP-20,GP-30,,,,
quaternized chitosan,methyl orange,4,125,486.13,,,
The full chemical name for the polymer (**CSMA-HPC**) is not provided on the provided page. The pollutants listed are metal ions: **$\text{Cu(II)}$** (Copper(II)),**$\text{Zn(II)}$** (Zinc(II)),and **$\text{Pb(II)}$** (Lead(II)).,,,,,
NCC/sodium alginate/k-carrageenan,Pb(II),5.0,500,351.0,,,[Pb+2]
Nanocellulose grafted molecularly imprinted polymers,Pb(II),6.0,500,27.6,,,[Pb+2]
Carboxylated chitosan/carboxylated nanocellulose hydrogel beads,Pb(II),4.0,1000,334.9,,,[Pb+2]
Nanocellulose/PDMAEMA hydrogels,Pb(II),5.0,100,82.0,,,[Pb+2]
Poly(allylamine)chitosan,Cr(VI),4.5,100,324.48,,,
PANI,Cr(MAX),1.33,20,55.55,,,
PANI,Cr(VI),2,10,236.36,,,
Poly(propylamine) hydrous zirconium oxide,Cr(VI),2,200,110.85,,,
- **Polymers/Adsorbents:** Poly(allylamine)chitosan,PANI (Polyaniline),$Fe_3O_4@CyS-PANI$,$ZnCl_2$ modified virgina residue bichar,Poly(propylamine) hydrous zirconium oxide,$Fe_3O_4$ CyS-PANI.,,
gma-g-PAN,Mo(VI),3.5,0.06,53.02,,,
gma-g-PAN,Mo(VI),6.875,0.0652,50.75,,,
polypropylene,Hg(II),5,20,75.21,,,
Bamboo-like PPy nanotube,Cr(VI),2.0,100,482.6,,,
PPy/ferric oxide composites,Cr(VI),2.0,10,209,,,
PPy/ferric oxide composites,Cu(II),5.5,10,171,,,
PPY coated Fe2O3,Cr(VI),2.0,20,80-89,,,
PAN/PPY-HMS,Cd(II),8.0,50,384.61,,,[Cd+2]
beta-cyclodextrin-chitosan polymer,Ibuprofen,4.9,20,4.8,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
The provided page only contains the abbreviations for the drug/pollutant (**MB**) and the polymer materials (**RBF**,**BBF**,and **ABF**); the full chemical names are not mentioned on this page.,,,,,
*   **Polymer(s):** PMC (Full name not provided in text),Chitosan,Graphene,,,,,
"*   **Polymer:** Ts/Car/Alg beads (the full chemical names for the components ""Ts""",Car,"and ""Alg"" are not provided in the text of the provided page).",,,,,
*   **Adsorbents (Polymers):** Citrus maxima (Pomelo),Pokan,Passion fruit (*Passiflora edulis*),Pomegranate (*Punica granatum*),Mango (*Mangifera indica*),P/pomegranate (Pomegranate peel),,
*   **Adsorbents (Polymers):** The provided text identifies the adsorbents by their biological source (e.g.,Yellow fruit peel,African mango,etc.) rather than their chemical polymer names. No specific chemical names for the polymer structures of these materials are present in the provided image.,,,,
*   **Adsorbents (Polymers):** Labassa fruit peel,Plum stone,Apricot shell,Grape melon,Litchi,Pomegranate,,
HAP-chitosan composite,Malachite green,10,20,285.7,,,
HAP-Alginate beads,Malachite green,6.8-7.3,5-200,900,,,
Chitosan-Functionalized HAP-Cerium Oxide,Congo Red,7,100,289.2,,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
*   Chitosan-Functionalized HAP-Cerium Oxide: Chitosan,hydroxyapatite,cerium oxide,,,,,
chitosan,methylene blue,5.8,20,11,,,
*   **Polymers/Adsorbents:** Calcium acetate ($\text{Ca(Ac)}_2$),Nano zero-valent iron Biochar ($\text{nZVI-BC}$),CES-modified Biochar ($\text{CES-BC}$).,,,,,
Alginate,Methylene blue,7,55,6.7,,,
*   **Polymers/Materials:** Rice straw,*Phanerochate chrysosporium*,Mango stones,Iron oxide,Alginate,Barley straw,,
*   **ST-AA/AC:** Starch,acrylic acid,and activated carbon,,,,,
*   **Polymers:** GLU_TTE,GLU_BDE,GLU_NGDE,,,,,
